timestamp,date,time,source,total_objects,object_names,image_path
2026-06-13T22:07:20.016660,2026-06-13,22:07:20,webcam,1,person,output/object\webcam_detect_20260613_220720_0116.jpg
2026-06-13T22:07:23.106043,2026-06-13,22:07:23,webcam,1,person,output/object\webcam_detect_20260613_220723_1026.jpg
2026-06-13T22:07:26.195131,2026-06-13,22:07:26,webcam,1,person,output/object\webcam_detect_20260613_220726_1883.jpg
2026-06-13T22:07:29.220169,2026-06-13,22:07:29,webcam,1,person,output/object\webcam_detect_20260613_220729_2149.jpg
2026-06-13T22:07:32.267654,2026-06-13,22:07:32,webcam,1,person,output/object\webcam_detect_20260613_220732_2608.jpg
2026-06-13T22:07:35.702379,2026-06-13,22:07:35,webcam,1,person,output/object\webcam_detect_20260613_220735_6769.jpg
2026-06-13T22:07:39.437730,2026-06-13,22:07:39,webcam,1,person,output/object\webcam_detect_20260613_220739_4306.jpg
2026-06-13T22:07:42.557401,2026-06-13,22:07:42,webcam,1,person,output/object\webcam_detect_20260613_220742_5517.jpg
2026-06-13T22:07:45.760433,2026-06-13,22:07:45,webcam,1,person,output/object\webcam_detect_20260613_220745_7551.jpg
2026-06-13T22:07:48.926785,2026-06-13,22:07:48,webcam,1,person,output/object\webcam_detect_20260613_220748_9203.jpg
2026-06-13T22:07:52.370462,2026-06-13,22:07:52,webcam,1,person,output/object\webcam_detect_20260613_220752_3650.jpg
2026-06-13T22:07:55.629561,2026-06-13,22:07:55,webcam,1,person,output/object\webcam_detect_20260613_220755_6168.jpg
2026-06-13T22:07:59.008758,2026-06-13,22:07:59,webcam,1,person,output/object\webcam_detect_20260613_220759_0014.jpg
2026-06-13T22:08:02.498598,2026-06-13,22:08:02,webcam,3,person,output/object\webcam_detect_20260613_220802_4936.jpg
2026-06-13T22:08:06.098109,2026-06-13,22:08:06,webcam,1,person,output/object\webcam_detect_20260613_220806_0880.jpg
2026-06-13T22:08:09.125692,2026-06-13,22:08:09,webcam,1,person,output/object\webcam_detect_20260613_220809_1202.jpg
2026-06-13T22:08:12.173362,2026-06-13,22:08:12,webcam,1,person,output/object\webcam_detect_20260613_220812_1669.jpg
2026-06-13T22:08:15.213831,2026-06-13,22:08:15,webcam,1,person,output/object\webcam_detect_20260613_220815_2083.jpg
2026-06-13T22:08:18.394351,2026-06-13,22:08:18,webcam,1,person,output/object\webcam_detect_20260613_220818_3882.jpg
2026-06-13T22:08:22.012266,2026-06-13,22:08:22,webcam,1,person,output/object\webcam_detect_20260613_220822_0069.jpg
2026-06-13T22:08:25.086947,2026-06-13,22:08:25,webcam,1,person,output/object\webcam_detect_20260613_220825_0816.jpg
2026-06-13T22:08:28.247175,2026-06-13,22:08:28,webcam,1,person,output/object\webcam_detect_20260613_220828_2338.jpg
2026-06-13T22:08:31.816355,2026-06-13,22:08:31,webcam,1,person,output/object\webcam_detect_20260613_220831_8099.jpg
2026-06-13T22:08:35.705804,2026-06-13,22:08:35,webcam,1,person,output/object\webcam_detect_20260613_220835_6997.jpg
2026-06-13T22:08:38.918774,2026-06-13,22:08:38,webcam,1,person,output/object\webcam_detect_20260613_220838_9127.jpg
2026-06-13T22:08:42.099638,2026-06-13,22:08:42,webcam,1,person,output/object\webcam_detect_20260613_220842_0738.jpg
2026-06-13T22:08:45.084309,2026-06-13,22:08:45,webcam,1,person,output/object\webcam_detect_20260613_220845_0798.jpg
2026-06-13T22:08:48.123360,2026-06-13,22:08:48,webcam,1,person,output/object\webcam_detect_20260613_220848_1178.jpg
2026-06-13T22:08:51.849691,2026-06-13,22:08:51,webcam,1,person,output/object\webcam_detect_20260613_220851_8450.jpg
2026-06-13T22:08:55.022628,2026-06-13,22:08:55,webcam,1,person,output/object\webcam_detect_20260613_220855_0174.jpg
2026-06-13T22:08:58.071420,2026-06-13,22:08:58,webcam,1,person,output/object\webcam_detect_20260613_220858_0655.jpg
2026-06-13T22:09:01.142176,2026-06-13,22:09:01,webcam,2,"person, chair",output/object\webcam_detect_20260613_220901_1371.jpg
2026-06-13T22:09:04.988150,2026-06-13,22:09:04,webcam,2,"person, chair",output/object\webcam_detect_20260613_220904_9829.jpg
2026-06-13T22:09:08.307995,2026-06-13,22:09:08,webcam,1,person,output/object\webcam_detect_20260613_220908_3022.jpg
2026-06-13T22:09:11.484666,2026-06-13,22:09:11,webcam,1,person,output/object\webcam_detect_20260613_220911_4800.jpg
2026-06-13T22:09:14.549924,2026-06-13,22:09:14,webcam,1,person,output/object\webcam_detect_20260613_220914_5452.jpg
2026-06-13T22:09:17.712471,2026-06-13,22:09:17,webcam,1,person,output/object\webcam_detect_20260613_220917_7076.jpg
